Publishing Date,Headlines,Category,Structural Hierarchy Description
3/10/2015,['KSE-100 Index plunges 1.2pc on institutional profit-taking'],Market,Stock Market
3/11/2015,['KSE-100 down amid foreign selling gas price weighs'],Market,Stock Market
3/14/2015,"['Karachi stocks rise 1.06pc, blue-chip in focus']",Market,Stock Market
3/15/2015,"['IMF review, likely ease in inflation to drive KSE next week']",Market,Stock Market
3/17/2015,['KSE index falls 1.44pc on blue-chips sale'],Market,Stock Market
3/18/2015,"['Energy, banking weaknesses drag KSE-100 down']",Market,Stock Market
3/19/2015,['Karachi stocks tank 2.53pc as foreign funds fly'],Market,Stock Market
3/20/2015,"['SECP expresses confidence in KSE strength', 'KSE Index ends down ahead of monetary policy announcement']",Market,Stock Market
3/21/2015,['Karachi stocks rebound in oversold market'],Market,Stock Market
3/25/2015,['KSE index down over 1.5 percent on institutional selling'],Market,Stock Market
3/26/2015,['Karachi stocks fall on foreign funds outflow'],Market,Stock Market
3/27/2015,['Karachi stocks tumble on selling by local funds'],Market,Stock Market
3/28/2015,"['KSE develops online complaint management system', 'Karachi stocks fall 2.3pc, blue chips drag']",Market,Stock Market
3/29/2015,['Karachi stocks likely to remain under pressure'],Market,Stock Market
3/31/2015,['KSE plunges as panic selling sparks margin call frenzy'],Market,Stock Market
4/2/2015,"['UBL wins KSE top 25 cos award', 'KSE gains 1.2pc, inflation numbers boost sentiment']",Market,Stock Market
4/3/2015,"['KSE Index gains, institutions lead buying']",Market,Stock Market
4/4/2015,['KSE-100 Index up ahead of quarterly results'],Market,Stock Market
4/7/2015,['KSE rallies as investors take positions ahead of results'],Market,Stock Market
4/9/2015,['KSE Index up as oil shares attract buyers'],Market,Stock Market
4/10/2015,"['KSE-100 Index crosses 32,000  mark ahead of quarterly results']",Market,Stock Market
4/11/2015,['KSE Index rise in pre-results rally'],Market,Stock Market
4/12/2015,['Big appetite for HBL shares likely to augur well for KSE Index'],Market,Stock Market
4/14/2015,['Profit-taking drags Karachi stocks down'],Market,Stock Market
4/15/2015,['Karachi stocks down as politics weighs'],Market,Stock Market
4/19/2015,['KSE likely to remain positive on robust corporate results'],Market,Stock Market
4/22/2015,"['KSE Index down 268 points, future settlement weighs']",Market,Stock Market
4/23/2015,['KSE Index recovers 1.38pc as investors take fresh positions'],Market,Stock Market
4/25/2015,['KSE Index up 0.95pc on strong corporate results'],Market,Stock Market
4/28/2015,['Turkey to help KSE firms raise funds'],Market,Stock Market
5/1/2015,"['KSE Index recovers losses, policy rate weighs']",Market,Stock Market
5/6/2015,['Karachi stocks decline political unrest weighs'],Market,Stock Market
5/7/2015,['KSE listed companies earn Rs142 billion in March'],Market,Stock Market
5/8/2015,['Karachi stocks down on sale of blue-chips'],Market,Stock Market
5/12/2015,['Karachi stocks retreat 3 percent as buyers fret regulator’s probe'],Market,Stock Market
5/13/2015,['Stocks recover losses on Pakistan-IMF accord'],Market,Stock Market
5/14/2015,['Karachi stocks sustain loss on unrest in city'],Market,Stock Market
5/15/2015,['Karachi stocks recover losses as buyers expect rate cut'],Market,Stock Market
5/17/2015,['Karachi stocks likely to sustain current level'],Market,Stock Market
5/21/2015,['Karachi stocks fall on approval of new gas levy'],Market,Stock Market
5/22/2015,['Dull day for KSE index ends flat'],Market,Stock Market
5/23/2015,['Karachi stocks end down ahead of policy announcement'],Market,Stock Market
5/24/2015,['KSE likely to observe lacklustre performance next week'],Market,Stock Market
5/26/2015,['Karachi stocks add up to small gains on rate cut'],Market,Stock Market
5/27/2015,['Karachi stocks drift back into losses on futures roll-over'],Market,Stock Market
5/28/2015,"['Karachi stocks rebound on growth, spending targets']",Market,Stock Market
5/29/2015,['Karachi stocks extend overnight loss as CGT hike proposed'],Market,Stock Market
5/30/2015,"['KSE ends up cement, power stocks in focus']",Market,Stock Market
6/2/2015,['Karachi stocks gain 1.53pc on inflation numbers'],Market,Stock Market
6/3/2015,"['Karachi stocks up as investors take fresh position in oils, banks']",Market,Stock Market
6/4/2015,['Karachi stocks retreat on profit-taking after two-day rally'],Market,Stock Market
6/5/2015,['Karachi stocks gain on positive budget hopes'],Market,Stock Market
6/6/2015,['KSE witnesses profit-taking ahead of budget'],Market,Stock Market
6/7/2015,['Karachi stocks may react negatively to CGT revision'],Market,Stock Market
6/9/2015,"['Pakistan’s first real estate fund launched at KSE', 'KSE Index rises as fresh investment pours in']",Market,Stock Market
6/10/2015,['Karachi stocks extend overnight gains banks in limelight'],Market,Stock Market
6/11/2015,['KSE Index up 0.16pc on buying in oil stocks'],Market,Stock Market
6/12/2015,['Karachi stocks soar to 4-month high on rising global oil prices'],Market,Stock Market
6/13/2015,['KSE Index up on improved rating by Moody’s'],Market,Stock Market
6/14/2015,['KSE expected to remain strong next week'],Market,Stock Market
6/16/2015,"['Qatar seeks KSE collaboration on mutually beneficial areas', 'Karachi stocks end up, volume at record high']",Market,Stock Market
6/17/2015,"['UBL Fund, KSE to launch new index', 'Karachi stocks end down as investors book profits']",Market,Stock Market
6/18/2015,['Karachi stocks down politics weigh'],Market,Stock Market
6/19/2015,['Karachi stocks rebound on healthy earnings outlook'],Market,Stock Market
6/20/2015,"['KSE’s advice to stock brokers', 'Karachi stocks fall, led by blue-chips']",Market,Stock Market
6/23/2015,['Karachi stocks fall futures rollover begins'],Market,Stock Market
6/24/2015,['Karachi stocks extend loss futures rollover weighs'],Market,Stock Market
6/25/2015,['KSE stages recovery on rebounding oil prices'],Market,Stock Market
6/26/2015,['Karachi stocks retreat ahead of year-end close'],Market,Stock Market
6/27/2015,"['Dolmen City REIT listed at KSE', 'Karachi stocks fall on profit-taking in oils']",Market,Stock Market
6/28/2015,['KSE to recompense investors bit by broker’s default'],Market,Stock Market
6/30/2015,"['Karachi stocks post recovery, led by banks']",Market,Stock Market
7/1/2015,"['Karachi stocks extend gains on loan tranche, falling borrowing cost']",Market,Stock Market
7/2/2015,"['KSE posts returns of 17.5 percent in 2015', 'KSE gains 1.29pc on June inflation numbers cements up']",Market,Stock Market
7/3/2015,['Karachi stocks end all-time high investors eye June results'],Market,Stock Market
7/4/2015,['Karachi stocks extend gains on IMF’s statements'],Market,Stock Market
7/5/2015,['Karachi stocks to maintain pace up 4.6 percent in outgoing week'],Market,Stock Market
7/7/2015,['Karachi stocks edge up on results outlook'],Market,Stock Market
7/8/2015,"['Karachi stocks up, led by cements, banks']",Market,Stock Market
7/9/2015,['KSE snaps 7-day winning streak on profit-taking'],Market,Stock Market
7/10/2015,['KSE down as investors fear weak earnings outlook'],Market,Stock Market
7/11/2015,['Karachi stocks extend losses on foreign selling'],Market,Stock Market
7/14/2015,['KSE rises 384 points on Greece bailout'],Market,Stock Market
7/15/2015,"['Advance tax collection from KSE posts 155pc growth', 'KSE begins drive to curb fraudulent schemes', 'Energy stocks weigh down Karachi share market']",Market,Stock Market
7/16/2015,['KSE begins drive to curb fraudulent schemes'],Market,Stock Market
7/17/2015,"['KSE asks listed companies to disclose information online', 'KSE-100 index sets closing record']",Market,Stock Market
7/18/2015,['Corporate results to set KSE Index’s direction'],Market,Stock Market
7/23/2015,"['KSE crosses 36,000 points level as buyers eye robust earnings']",Market,Stock Market
7/24/2015,['KSE down ahead of monetary policy announcement'],Market,Stock Market
7/25/2015,['KSE Brokers Association office-bearers'],Market,Stock Market
7/28/2015,['KSE down in line with global markets'],Market,Stock Market
7/29/2015,"['KSE binds brokers to have audit from SBP’s auditors', 'Karachi stocks post recovery, led by cements, fertilisers']",Market,Stock Market
7/30/2015,"['Karachi stocks up 1.14 percent, led by oils']",Market,Stock Market
7/31/2015,['KSE Index undergoes volatility amid profit-taking'],Market,Stock Market
8/1/2015,['KSE Index ends flat on profit-taking in blue-chips'],Market,Stock Market
8/2/2015,['SECP amends KSE regulations'],Market,Stock Market
8/4/2015,"['KSE-100 gains 3.9pc in July', 'Karachi stocks gain on record low inflation']",Market,Stock Market
8/5/2015,['Karachi stocks up rate cut eyed'],Market,Stock Market
8/6/2015,"['Karachi stocks cross 36,000-level on robust quarter results']",Market,Stock Market
8/7/2015,['Results-driven buying keeps Karachi stocks up'],Market,Stock Market
8/8/2015,['KSE Index ends flat on profit-taking'],Market,Stock Market
8/11/2015,['KSE slips on profit-taking in heavyweights'],Market,Stock Market
8/12/2015,"['Market crash 2008 pinned on SECP ex-chairman, KSE brokers', 'KSE Index stages recovery in earnings season rally']",Market,Stock Market
8/13/2015,['Karachi stocks fall on regional weaknesses'],Market,Stock Market
8/14/2015,['Karachi stocks end mixed amid political uncertainty'],Market,Stock Market
8/16/2015,"['Results, political developments to drive sentiments at KSE']",Market,Stock Market
8/18/2015,['KSE Index down on profit-taking in oil stocks'],Market,Stock Market
8/19/2015,['Karachi stocks extend losses security unrest weighs'],Market,Stock Market
8/20/2015,"['Soneri Bank’s second TFC listed at KSE', 'KSE maintains downward trend on profit-taking']",Market,Stock Market
8/21/2015,"['KSE approves formal listing of Al-Shaheer Corporation', 'KSE Index fall, dragged by massive foreign selling']",Market,Stock Market
8/22/2015,['KSE Index down 2 percent as foreign funds offload positions'],Market,Stock Market
8/23/2015,['KSE likely to remain under pressure next week'],Market,Stock Market
8/25/2015,['Karachi stocks tumble 4.1pc on China concerns'],Market,Stock Market
8/26/2015,['Karachi stocks up 2pc as China’s stimulus works'],Market,Stock Market
8/27/2015,['Karachi stocks down amid roller-coaster trading'],Market,Stock Market
8/28/2015,['KSE rebounds 1.26pc as global recovery stimulates buying'],Market,Stock Market
8/29/2015,['KSE Index surges 1.43pc on recovery in global equities'],Market,Stock Market
9/1/2015,"['Karachi stocks up, led by oils']",Market,Stock Market
9/3/2015,['Karachi stocks extend losses on fragile regional markets'],Market,Stock Market
9/4/2015,['Karachi stocks up amid recovery in crude oil prices'],Market,Stock Market
9/5/2015,['KSE Index loses 1.47pc on dismal results'],Market,Stock Market
9/8/2015,['KSE Index tumbles 2.79 percent on rumours about SECP action'],Market,Stock Market
9/9/2015,['KSE snap two sessions losing streak index gains 1.61pc'],Market,Stock Market
9/10/2015,['KSE remains positive amid recovery in crude oil prices'],Market,Stock Market
9/11/2015,['Karachi stocks down on profit-taking'],Market,Stock Market
9/12/2015,['Karachi stocks extend losses ahead of policy announcement'],Market,Stock Market
9/15/2015,['Karachi stocks lose charm investors fear flagging rupee'],Market,Stock Market
9/16/2015,['Karachi stocks remain lacklustre amid profit-taking'],Market,Stock Market
9/17/2015,['Karachi stocks trim losses on recovery in oil prices'],Market,Stock Market
9/18/2015,['Karachi stocks down oils’ cherry-picking supports index'],Market,Stock Market
9/19/2015,['KSE Index declines 1 percent on profit-taking'],Market,Stock Market
9/22/2015,['KSE manage to close up as bargain hunters lend support'],Market,Stock Market
9/23/2015,['Karachi stocks extend gains on oil price recovery'],Market,Stock Market
9/24/2015,['Karachi stocks down amid thin trade'],Market,Stock Market
9/25/2015,['Sideways trading for KSE expected after eid holidays focus shifts to probes'],Market,Stock Market
9/29/2015,['Karachi stocks remain volatile as investors take cautious stance'],Market,Stock Market
10/1/2015,['Karachi stocks up as investors place bet on global recovery'],Market,Stock Market
10/3/2015,"['KSE Index falls 6.1pc in July-Sept probe, weak global equities take toll', 'Karachi stocks extend gains on benign inflation']",Market,Stock Market
10/6/2015,['Karachi stocks down on weak earnings outlook'],Market,Stock Market
10/7/2015,['KSE Index rises 1.27 percent in oil-led rally'],Market,Stock Market
10/8/2015,['Karachi stocks rise as energy shares gain with oil price'],Market,Stock Market
10/9/2015,['KSE Index extends gains on interest in leveraged stocks'],Market,Stock Market
10/10/2015,['Bulls rule the roost KSE Index up 1.12pc in oil-led rally'],Market,Stock Market
10/11/2015,['Karachi stocks may remain bullishinvestors eye Sept results'],Market,Stock Market
10/13/2015,['KSE Index up 341 points on improved economic condition'],Market,Stock Market
10/14/2015,['Karachi stocks falter as oil slips'],Market,Stock Market
10/15/2015,"['KSE slips below 34,000 points on extended sale in oil shares']",Market,Stock Market
10/16/2015,['Karachi stocks fall on profit-taking'],Market,Stock Market
10/17/2015,['Karachi stocks make modest gain amid dull trade'],Market,Stock Market
10/18/2015,"['Karachi stocks to take cue from oil prices, regional performance']",Market,Stock Market
10/21/2015,['KSE remains dull as global oil prices fall'],Market,Stock Market
10/22/2015,['Banks help Karachi stocks make slight gains'],Market,Stock Market
10/23/2015,['Karachi stocks end flat in absence of triggers'],Market,Stock Market
10/24/2015,['Karachi stocks not out of woods roll-over week ahead'],Market,Stock Market
10/27/2015,"['KSE board approves integration of bourses', 'Karachi stocks down on profit-taking']",Market,Stock Market
10/28/2015,['KSE Index ends flat as oils decline'],Market,Stock Market
10/29/2015,"['LSE approves integration with KSE', 'Bulls rule as Karachi stocks buck dull trade']",Market,Stock Market
10/30/2015,"['KSE adds to gains on oil surge, appetising numbers']",Market,Stock Market
10/31/2015,['Karachi stocks retreat fertilisers weigh'],Market,Stock Market
11/1/2015,['Karachi stocks may endure dull tradepolicy rate to guide move'],Market,Stock Market
11/4/2015,['KSE pares losses in wobbly session'],Market,Stock Market
11/5/2015,"['KSE bucks dull trade led by oils, cements']",Market,Stock Market
11/6/2015,['KSE loses momentum on profit-taking'],Market,Stock Market
11/7/2015,"['KSE down as weak oil, EU concern offset 4-week high trading']",Market,Stock Market
11/10/2015,['Karachi stocks decline on profit-taking'],Market,Stock Market
11/11/2015,['Karachi stocks slip 1.1pc as regional markets weaken'],Market,Stock Market
11/12/2015,['Karachi stocks end flat amid absence of triggers'],Market,Stock Market
11/14/2015,['Karachi stocks down on profit-taking'],Market,Stock Market
11/15/2015,['Karachi stocks sail in choppy waters'],Market,Stock Market
11/17/2015,['Karachi stocks fall global equities’ turbulence weighs'],Market,Stock Market
11/18/2015,"['Karachi stocks up, buoyed by recovery in regional markets']",Market,Stock Market
11/19/2015,['Karachi stocks slip as oil prices fall'],Market,Stock Market
11/20/2015,['Karachi stocks slip with eyes on central bank policy stance'],Market,Stock Market
11/21/2015,['Karachi stocks down on foreign selling'],Market,Stock Market
11/22/2015,['KSE cap off tough week with across the board losses'],Market,Stock Market
11/24/2015,['Karachi stocks down on weak regional market'],Market,Stock Market
11/25/2015,['KSE continues downward move as foreign selling hurts'],Market,Stock Market
11/26/2015,['Karachi stocks lose 1.1pc roll-over weighs'],Market,Stock Market
11/27/2015,['Karachi stocks extend losses as buyers await triggers'],Market,Stock Market
11/28/2015,"['KSE lowers below 33,000 points as bears hold close']",Market,Stock Market
11/29/2015,['KSE expected to remain lacklustre'],Market,Stock Market
12/1/2015,"['KSE warns non-compliant listed companies of punitive action', 'Foreign selling mows 2.17 percent of Karachi stocks value']",Market,Stock Market
12/2/2015,"['Amreli Steel shares jump 5pc in KSE debut', 'Panic selling trims 1.7pc of KSE as investors look for refuge']",Market,Stock Market
12/3/2015,['KSE snaps losing streak as discounted prices attract buyers'],Market,Stock Market
12/4/2015,"['SECP chief meets KSE panel members', 'Attractive valuations keep KSE Index up']",Market,Stock Market
12/5/2015,['Karachi stocks index rises on value play'],Market,Stock Market
12/8/2015,"['Karachi stocks up, buying continues in oversold scrips']",Market,Stock Market
12/9/2015,['Oil price fall drags Karachi stocks down'],Market,Stock Market
12/10/2015,['Karachi stocks up as rupee appreciation lifts sentiments'],Market,Stock Market
12/11/2015,['Karachi stocks end up on Pakistan-India peace talks'],Market,Stock Market
12/12/2015,"['KSE in talks with London for stakes sale', 'KSE undergoes selling pressure as investors offload energy stocks']",Market,Stock Market
12/15/2015,['Karachi stocks take a hit with oil at seven-year low'],Market,Stock Market
12/16/2015,['Karachi stocks slip ahead of Fed meeting'],Market,Stock Market
12/17/2015,['Karachi stocks up as oil recovery adds to gains'],Market,Stock Market
12/18/2015,['Karachi stocks edge up after widely expected Fed rate hike'],Market,Stock Market
12/19/2015,"['KSE lowers below 32,000-level on weak global commodities']",Market,Stock Market
12/22/2015,['Karachi stocks down futures rollover weighs'],Market,Stock Market
12/23/2015,"['Karachi stocks end flat amid futures rollover', 'Pakistan Stock Exchange to be launched on Jan 11', 'JS Global holds Pakistan Stock Exchange awareness conference']",Market,Stock Market
12/24/2015,['Karachi stocks end lower on profit-taking'],Market,Stock Market
12/29/2015,['KSE-100 index gains in thin trade'],Market,Stock Market
12/30/2015,"['Karachi stocks extend gains, led by oils, fertilisers']",Market,Stock Market
1/1/2016,['Karachi stocks end 2015 near flat'],Market,Stock Market
1/2/2016,"['Karachi stocks start year on bright note,gains on first day of 2016']",Market,Stock Market
1/5/2016,['Profit-taking in blue-chips weighs down Karachi stocks'],Market,Stock Market
1/7/2016,['Karachi stocks end nearly flat in lackluster trade'],Market,Stock Market
1/9/2016,"['KSE to arrange mock trading sessions', 'Foreign outflows drag Karachi stocks down']",Market,Stock Market
1/10/2016,['Underperforming regional stocks a hurdle for Pakistan'],Market,Stock Market
1/15/2016,"['Pakistan stocks fall to nine-month lowgrowth slowdown, energy weigh']",Market,Stock Market
1/22/2016,['Pakistan stocks end flat amid lack of triggers'],Market,Stock Market
1/23/2016,"['Pakistan stocks end up on strong earnings, oil recovery']",Market,Stock Market
1/26/2016,['Pakistan stocks end up in earnings season'],Market,Stock Market
1/28/2016,['Pakistan stocks end flat on profit-taking'],Market,Stock Market
1/29/2016,['Pakistan stocks end with marginal gains in tepid trade'],Market,Stock Market
2/3/2016,"['Pakistan stocks extend gains, led by banks, cements']",Market,Stock Market
2/4/2016,"['Pakistan stocks end up two-week high on buying in banks, oils']",Market,Stock Market
2/5/2016,['Pakistan stocks end up 1.23pc as investors cheer oil recovery'],Market,Stock Market
2/10/2016,['Pakistan stocks snap 11-day\xa0winning streak on foreign selling'],Market,Stock Market
2/11/2016,['Pakistan stocks end down as investors book profits'],Market,Stock Market
2/12/2016,"['Pakistan stocks slip below 32,000 points on foreign selling']",Market,Stock Market
2/16/2016,['Pakistan stocks snap losing streak as oil rebounds'],Market,Stock Market
2/17/2016,['Pakistan stocks lose momentum on profit-taking'],Market,Stock Market
2/18/2016,['Pakistan stocks extend losses on muted earnings'],Market,Stock Market
2/19/2016,['Bears rule Pakistan stocks market'],Market,Stock Market
2/21/2016,"['Pakistan stocks to take cue from crude, world bourses']",Market,Stock Market
2/25/2016,['Pakistan stocks rally back on lucrative prices'],Market,Stock Market
2/26/2016,['Pakistan stocks end flat as lull prevails'],Market,Stock Market
3/1/2016,['Pakistan stocks close up after rollercoaster ride'],Market,Stock Market
3/2/2016,['Pakistan stocks extend gains on oil support'],Market,Stock Market
3/3/2016,"['Pakistan stocks up, led by cements, autos']",Market,Stock Market
3/5/2016,['Pakistan stocks gain almost one percent on buying in blue-chips'],Market,Stock Market
3/6/2016,['Pakistan stocks may continue upward trend on foreign support'],Market,Stock Market
3/8/2016,['Pakistan stocks rise with oil on foreign buying'],Market,Stock Market
3/9/2016,['Pakistan stocks end mixed on profit-taking'],Market,Stock Market
3/10/2016,['Pakistan stocks lose steam on profit-taking'],Market,Stock Market
3/11/2016,['Pakistan stocks edge lower on profit-taking blue-chips drag'],Market,Stock Market
3/12/2016,['Pakistan stocks end lower in lacklustre trade'],Market,Stock Market
3/15/2016,['Pakistan stocks inch up oil sector pares gains'],Market,Stock Market
3/16/2016,['Pakistan stocks pare gains on profit-taking'],Market,Stock Market
3/17/2016,['Pakistan stocks trim losses in oils-led rally'],Market,Stock Market
3/18/2016,['Pakistan stocks extend gains on oil support'],Market,Stock Market
3/19/2016,"['Pakistan stocks up banks, oils lend support']",Market,Stock Market
3/22/2016,['Pakistan stocks dip in lackluster trade as investors await trigger'],Market,Stock Market
3/23/2016,['Pakistan stocks extend losses on lack of triggers'],Market,Stock Market
3/25/2016,"['Pakistan stocks fall energy, banks weigh']",Market,Stock Market
3/26/2016,['Pakistan stocks struggle higher on futures settlement'],Market,Stock Market
3/29/2016,['Pakistan stocks end flat in dull trade'],Market,Stock Market
3/30/2016,['Pakistan stocks end flat on political woes\xa0'],Market,Stock Market
3/31/2016,['Pakistan stocks inch up in choppy trade'],Market,Stock Market
4/1/2016,['Positive political settlement MSCI cheers Pakistan stocks'],Market,Stock Market
4/2/2016,['Pakistan stocks rise one pct on MSCI inclusion hopes'],Market,Stock Market
4/8/2016,['Pakistan stocks inch down on weak oil'],Market,Stock Market
4/9/2016,['Pakistan stocks inch up ahead of policy review'],Market,Stock Market
4/13/2016,['Pakistan stocks index inches up in dull trade'],Market,Stock Market
4/14/2016,['Pakistan stocks end flat cements weigh'],Market,Stock Market
4/19/2016,['Pakistan stocks end flat oils weigh'],Market,Stock Market
4/22/2016,['Pakistan stocks end flat on corruption crackdown'],Market,Stock Market
4/23/2016,['Pakistan stocks post gains as oil prices stabilise'],Market,Stock Market
4/24/2016,['Political gloom sets in on Pakistan Stock Exchange'],Market,Stock Market
4/26/2016,['Pakistan stocks end flat politics weigh'],Market,Stock Market
4/30/2016,['Pakistan stocks end 0.63pc up with financial oil shares rising'],Market,Stock Market
5/7/2016,"['Pakistan stocks end flat on profit-taking', 'Pakistan Stock Exchange gears up for reentry into MSCI EM Index']",Market,Stock Market
5/10/2016,"['Pakistan stocks extend gains cements, oils support\xa0']",Market,Stock Market
5/11/2016,"['Pakistan stocks end flat,\xa0maintain all-time high level']",Market,Stock Market
5/14/2016,['Pakistan stocks end up profit-booking trims gains'],Market,Stock Market
5/18/2016,['Pakistan stocks end flat as politics weighs'],Market,Stock Market
5/26/2016,['Pakistan stocks end down as rollover weighs'],Market,Stock Market
6/1/2016,"['Pakistan stocks end down, shares take budget heat\xa0']",Market,Stock Market
6/8/2016,"['Pakistan stocks extend gains, led by oils']",Market,Stock Market
6/14/2016,['Pakistan stocks gain ahead of MSCI index decision'],Market,Stock Market
7/1/2016,['Pakistan stocks end flat as investors take profits'],Market,Stock Market
7/22/2016,['Pakistan Stock Exchange declared Asia’s best market'],Market,Stock Market
7/29/2016,['Pakistan stocks end flat in volatile trade'],Market,Stock Market
8/23/2016,['Pakistan stocks inch down on foreign outflows'],Market,Stock Market
9/6/2016,['Pakistan stocks close lower on lack of triggers'],Market,Stock Market
9/9/2016,['Pakistan stocks end up on upbeat cement data'],Market,Stock Market
9/17/2016,"['Volume high, KSE index hits new peak']",Market,Stock Market
9/20/2016,['Pakistan stocks inch up to new record high'],Market,Stock Market
9/30/2016,['Stocks end down on heightening Pakistan-India tensions'],Market,Stock Market
10/5/2016,['Shares hit new record high Market on a roll: KSE-100 index ends above 41K'],Market,Stock Market
10/18/2016,['Pakistan stocks fall investors book profits'],Market,Stock Market
10/20/2016,['Pakistan stocks end flat in volatile trade'],Market,Stock Market
10/22/2016,['Pakistan stocks lose momentum on profit-taking'],Market,Stock Market
11/9/2016,['Pakistan stocks end flat on US election caution'],Market,Stock Market
11/18/2016,['Pakistan stocks end flat market lacks triggers'],Market,Stock Market
12/9/2016,['Chinese bourses express interest in acquiring 40pc stake in Pakistan stocks'],Market,Stock Market
12/10/2016,['Pakistan stocks hit record high SC decision hailed'],Market,Stock Market
12/27/2016,['Pakistan stocks end flat profit-taking curbs gains'],Market,Stock Market
12/28/2016,['Pakistan stocks edge up as yearend torpor sets in'],Market,Stock Market
12/29/2016,['KSE index gains 400pc since 2009: Forbes'],Market,Stock Market
1/1/2017,['Pakistan stocks likely to pick up momentum next week'],Market,Stock Market
1/6/2017,['Pakistan stocks end flat in absence of triggers'],Market,Stock Market
1/14/2017,['Pakistan stocks fall ahead of earnings investors book profit'],Market,Stock Market
1/17/2017,['Pakistan stocks fall on profit-taking foreign selling'],Market,Stock Market
1/18/2017,['Pakistan stocks fall as foreign selling continues'],Market,Stock Market
1/20/2017,['Pakistan stocks end losing streak ahead of earnings'],Market,Stock Market
1/31/2017,['Pakistan stocks fall two percent on crackdown speculation'],Market,Stock Market
2/1/2017,"['Pakistan stocks fall, tracking regional markets']",Market,Stock Market
2/5/2017,['Pakistan stocks likely to post modest gains next week'],Market,Stock Market
2/11/2017,['Pakistan stocks end flat cement weighs'],Market,Stock Market
2/21/2017,['Global arms trade highest since Cold War'],Market,Stock Market
2/25/2017,"['Pakistan stocks inch down on weak oil, global equities']",Market,Stock Market
3/4/2017,['Pakistan stocks consolidate recent gains'],Market,Stock Market
3/7/2017,['Pakistan stocks end down in profit-taking'],Market,Stock Market
3/14/2017,['Pakistan stocks fall in low-volume market'],Market,Stock Market
3/15/2017,['Pakistan stocks extend losses in volatile trade'],Market,Stock Market
3/16/2017,"['Pakistan stocks down as profit-taking weighs', 'Chinese premier warns US against trade war']",Market,Stock Market
3/17/2017,['Pakistan stocks close flat in lacklustre trade'],Market,Stock Market
3/23/2017,['Pakistan stocks end flat in range-bound trade'],Market,Stock Market
3/26/2017,['Pakistan stocks end week with strong gains'],Market,Stock Market
3/30/2017,['Pakistan stocks close down on profit-taking'],Market,Stock Market
4/5/2017,"['US business seeks action, not trade war, in Xi-Trump summit']",Market,Stock Market
4/7/2017,['Pakistan stocks end down in thin trade'],Market,Stock Market
5/4/2017,['Pakistan stocks down on institutional profit-taking'],Market,Stock Market
6/2/2017,"['Pakistan stocks plunge 3.6 percent as budget, MSCI spooks investors']",Market,Stock Market
6/21/2017,['Stocks pressured by report on Trump hardening stance against Pakistan'],Market,Stock Market
6/25/2017,['Trade in Pakistan Stock Exchange shares to begin on June 29'],Market,Stock Market
7/8/2017,['Pakistan stocks rebound ahead of results'],Market,Stock Market
7/9/2017,['NSF outperforms KSE-100 Index'],Market,Stock Market
8/15/2017,['China warns against ‘trade war’ with US'],Market,Stock Market
8/19/2017,['Pakistan stocks end week on lacklustre note'],Market,Stock Market
9/12/2017,['Pakistan stocks close down in thin trade'],Market,Stock Market
11/1/2017,['Profits of KSE-100 listed firms decline 9.6 percent in Q3'],Market,Stock Market
11/15/2017,['MSCI shears Pakistan’s stocks weightage to 0.14pc on recent beating'],Market,Stock Market
12/5/2017,['KSE 100-share ends flat in Nov'],Market,Stock Market
12/8/2017,['KSE-100 at 17-month low level'],Market,Stock Market
12/23/2017,"['War of words: Pence, Pakistan trade verbal volleys']",Market,Stock Market
1/30/2018,['EU says it will ‘react swiftly and appropriately’ after Donald Trump trade war threat'],Market,Stock Market
3/3/2018,['Defiant Trump welcomes ‘easy to win’ trade war'],Market,Stock Market
3/4/2018,"['Dumping US debt, a possible weapon in global trade war']",Market,Stock Market
3/8/2018,"['Stocks fall on IMF’s bleak review of Pakistan’s economy', 'Europeans, IMF tell Trump to step back from trade war']",Market,Stock Market
3/9/2018,['China says ready for trade war as Trump tariffs loom'],Market,Stock Market
3/16/2018,['‘Trade war could damage global recovery’'],Market,Stock Market
3/23/2018,"['World stocks dive on trade war fears, rate outlook']",Market,Stock Market
3/24/2018,['World stock markets tumble on Trump trade war fears'],Market,Stock Market
3/27/2018,['China’s premier pledges market opening in bid to avert US trade war'],Market,Stock Market
4/3/2018,['China hammers US goods with tariffs as ‘sparks’ of trade war fly'],Market,Stock Market
4/4/2018,"['Stocks close higher for fifth straight session as KSE-100 reclaims 46,000-level']",Market,Stock Market
5/22/2018,['China relieved trade war is ‘on hold’ US business ambivalent'],Market,Stock Market
6/2/2018,['World on brink of trade war as US slaps tariffs on allies'],Market,Stock Market
6/8/2018,['German industrial orders plunge due to fears of trade war'],Market,Stock Market
6/10/2018,['G7 divides to G6 plus Trump over trade war threat'],Market,Stock Market
6/16/2018,['US-China trade war intensifies'],Market,Stock Market
6/20/2018,['Global stocks plunge on US-China trade war fears'],Market,Stock Market
6/22/2018,['Stocks tumble over Moody’s negative rating for Pakistan'],Market,Stock Market
6/23/2018,['European Union slaps tariffs on US as trade war erupts'],Market,Stock Market
6/29/2018,"['China factory growth seen cooling slightly in June, trade war a worry']",Market,Stock Market
7/5/2018,['Merkel warns Trump against trade war'],Market,Stock Market
7/7/2018,"['Trump unleashes trade war with tariffs on China', 'No one gains in a trade war, Chinese PM says']",Market,Stock Market
7/8/2018,['China eyes eastern Europe investment as US trade war sizzles'],Market,Stock Market
